symbol,date,open,high,low,close,volume,adjusted
AMT,2020-02-21,247.940002,248.639999,246.800003,247.009995,2570200,245.982376
AMT,2020-02-24,244.820007,248.770004,243.610001,245.110001,2329800,244.090286
AMT,2020-02-25,247.919998,253.990005,244.160004,246.139999,2268600,245.115997
AMT,2020-02-26,246.139999,248.360001,240,242.669998,2024600,241.660431
AMT,2020-02-27,239.990005,244.889999,232.899994,232.929993,3168700,231.960953
AMT,2020-02-28,226.699997,228.710007,218.029999,226.800003,5188100,225.856461
AMT,2020-03-02,229.029999,240.880005,228.080002,240.75,2718500,239.748428
AMT,2020-03-03,240.75,246.839996,238.839996,242.649994,3502600,241.640518
AMT,2020-03-04,245.580002,251.970001,245.320007,251.660004,2350400,250.613037
AMT,2020-03-05,248.550003,250.889999,243.529999,246.940002,1969400,245.912674
AMT,2020-03-06,243.169998,247.580002,237.899994,246.320007,2693600,245.295258
AMT,2020-03-09,231.429993,239.610001,225,231.860001,3209200,230.895416
AMT,2020-03-10,236.740005,244.210007,229.850006,243.869995,2658300,242.855438
AMT,2020-03-11,237.369995,239.190002,228.679993,232.899994,3360600,231.931076
AMT,2020-03-12,216.289993,231.720001,204.139999,217.830002,4734500,216.923782
AMT,2020-03-13,225.529999,241.559998,220.020004,238.990005,4220300,237.995758
AMT,2020-03-16,206.649994,229.809998,201.369995,202.75,4093100,201.906509
AMT,2020-03-17,210.169998,234.899994,203.630005,227.529999,4527100,226.58342
AMT,2020-03-18,210,235.839996,206.169998,217.139999,4210000,216.236649
AMT,2020-03-19,217.570007,219.779999,201.520004,209,3847800,208.130508
AMT,2020-03-20,207,210,192.369995,195.389999,3940900,194.577133
AMT,2020-03-23,196,196.270004,174.320007,179.089996,3890100,178.34494
AMT,2020-03-24,187.789993,193.850006,179.25,190.270004,4221400,189.478439
AMT,2020-03-25,188.899994,208.539993,186.029999,199.259995,3201500,198.43103
AMT,2020-03-26,198.149994,226.289993,198,222.199997,3413500,221.275589
AMT,2020-03-27,216.190002,222.039993,211.729996,218.479996,3367100,217.571075
AMT,2020-03-30,222.679993,231.970001,221.339996,230.580002,2581600,229.620743
AMT,2020-03-31,228.460007,230,215.919998,217.75,4629900,216.844116
AMT,2020-04-01,205.809998,213.399994,202.029999,206.970001,3772000,206.108963
AMT,2020-04-02,207,221.089996,205.589996,220.75,3993100,219.831635
AMT,2020-04-03,219.160004,223.75,216.820007,222.800003,2858000,221.873108
AMT,2020-04-06,228.020004,236.220001,227,235.179993,3050300,234.201584
AMT,2020-04-07,241.110001,243.880005,227.029999,227.770004,2226100,226.822433
AMT,2020-04-08,229.639999,249.649994,228,249.25,3329400,248.213058
AMT,2020-04-09,248.5,260.429993,248.199997,259.600006,4331900,258.52002
AMT,2020-04-13,256.700012,257.350006,246.759995,249.759995,1830900,249.759995
AMT,2020-04-14,255.080002,257.660004,252.520004,255.100006,2011800,255.100006
AMT,2020-04-15,252.929993,252.979996,243.210007,247.490005,1909700,247.490005
AMT,2020-04-16,249.589996,252.720001,247.550003,251.779999,1640700,251.779999
AMT,2020-04-17,256.559998,257.769989,248.080002,254.059998,2328100,254.059998
AMT,2020-04-20,252.029999,253,248.509995,248.679993,1281800,248.679993
AMT,2020-04-21,245.210007,245.869995,239.100006,242,1925500,242
AMT,2020-04-22,246.229996,255.110001,245.559998,252.979996,2041400,252.979996
AMT,2020-04-23,252.190002,254.809998,248.139999,248.600006,1419200,248.600006
AMT,2020-04-24,250.279999,251.490005,243.770004,244.610001,1776500,244.610001
AMT,2020-04-27,247,252.289993,245.240005,250.220001,1557500,250.220001
AMT,2020-04-28,255.25,255.800003,242.720001,243.529999,2091900,243.529999
AMT,2020-04-29,251.020004,251.020004,235.669998,236.809998,3505800,236.809998
AMT,2020-04-30,234.110001,239.089996,232.710007,238,3409800,238
AMT,2020-05-01,233.240005,235.899994,232.589996,234.199997,1896800,234.199997
AMT,2020-05-04,237.389999,237.5,228.110001,236.630005,1642700,236.630005
AMT,2020-05-05,237.679993,243.550003,237.679993,240.259995,1421200,240.259995
AMT,2020-05-06,240.860001,242.240005,236.789993,237.259995,1441400,237.259995
AMT,2020-05-07,239.179993,239.669998,235.029999,235.25,2548900,235.25
AMT,2020-05-08,237.649994,240.25,236.679993,238.360001,1879700,238.360001
AMT,2020-05-11,236.080002,242.929993,234.479996,238.229996,2040700,238.229996
AMT,2020-05-12,239.360001,240.25,230.740005,231.690002,1852500,231.690002
